Date,Sec1,Sec2,Sec3,Sec4,Sec5,Sec6,Sec7,Sec8,Sec9,Sec10,,B1
2019-11-11,-0.003,-0.006,-0.001,-0.002,-0.001,0,-0.004,0,-0.006,-0.003,,-0.002
2019-11-12,0.001,0.002,0.003,-0.001,0.005,0,0.006,0.003,-0.005,0.002,,0.002
2019-11-13,-0.006,0.015,0.008,-0.003,-0.006,-0.004,0.001,0.002,-0.004,0,,0
2019-11-14,0.002,0.004,0,0.004,0.006,0.003,0,-0.001,-0.003,0.002,,0.001
2019-11-15,0.003,0.003,0,0.002,-0.001,0.007,0.021,0.008,0.008,0.006,,0.007
2019-11-18,0.002,0.002,0.005,0.003,-0.002,-0.004,-0.003,0.003,-0.012,-0.001,,0.001
2019-11-19,0.002,-0.003,-0.001,-0.011,-0.002,-0.001,0.007,0.002,-0.015,-0.002,,0
2019-11-20,-0.005,0.006,0.002,-0.002,-0.012,-0.008,-0.001,-0.006,0.01,-0.002,,-0.004
2019-11-21,-0.001,-0.003,-0.005,-0.006,-0.002,0,0.003,-0.005,0.016,0,,-0.002
2019-11-22,0.007,0,-0.002,0.007,0.002,0.005,0.004,-0.001,-0.003,0.002,,0.002
2019-11-25,0.006,-0.003,0.001,0.009,0.007,0.007,0.012,0.015,0.001,0.006,,0.008
2019-11-26,-0.001,0.003,0.008,0.007,0.005,0.003,-0.001,0.001,-0.009,0.002,,0.002
2019-11-27,0.004,0.002,0.002,0.009,0.004,-0.001,0.005,0.006,0.003,0.004,,0.004
2019-11-29,-0.002,-0.001,0,-0.006,-0.004,-0.005,-0.004,-0.003,-0.01,-0.004,,-0.004
2019-12-02,-0.006,-0.007,0.002,-0.008,-0.01,-0.016,-0.004,-0.014,0,-0.007,,-0.008
2019-12-03,-0.014,0.003,-0.002,-0.01,-0.006,-0.011,-0.002,-0.009,-0.015,-0.007,,-0.007
2019-12-04,0.009,0.008,0.007,0.006,0.002,0.004,0.009,0.004,0.015,0.007,,0.006
2019-12-05,0.005,0.002,0,-0.001,0.005,0,0,0.004,-0.005,0.001,,0.002
2019-12-06,0.013,-0.003,0.004,0.008,0.01,0.012,0.007,0.011,0.019,0.009,,0.009
2019-12-09,-0.002,-0.003,0.001,0.001,-0.002,-0.004,-0.007,-0.005,-0.001,-0.003,,-0.003
2019-12-10,0,0,-0.003,-0.002,-0.006,-0.001,0.002,0.001,0.002,-0.001,,-0.001
2019-12-11,-0.002,0.003,0.001,0.003,0.008,0.006,0.001,0.007,-0.002,0.003,,0.003
2019-12-12,0.02,-0.004,-0.001,0.009,0.014,0.009,0.009,0.011,0.018,0.009,,0.009
2019-12-13,-0.004,0.008,0.004,0.001,-0.008,-0.003,-0.001,0.007,-0.008,0,,0.001
2019-12-16,0.004,0.012,0.004,0.004,0.004,0,0.011,0.009,0.013,0.007,,0.007
2019-12-17,0.004,0.003,-0.002,0.004,0.001,-0.001,-0.001,-0.002,0.001,0.001,,0
2019-12-18,-0.004,0.004,-0.002,0.001,-0.001,-0.004,0.001,0,0.004,0,,0
2019-12-19,0,0,0.005,0.003,0.003,0.003,0.004,0.007,0,0.003,,0.004
2019-12-20,0.001,0.007,0.008,0.002,0.005,0.005,0.007,0.006,0.01,0.005,,0.004
2019-12-23,-0.002,-0.009,-0.004,-0.002,0.003,0.008,0.004,0.003,0.01,0.001,,0.002
2019-12-24,0.002,0.001,0.001,0.002,0.001,-0.004,-0.001,0,0,0,,0
2019-12-26,0.006,0.002,0.001,0.012,0.004,0.002,-0.001,0.007,0,0.004,,0.005
2019-12-27,-0.003,0.003,0.004,0,-0.004,-0.001,0,0,-0.004,0,,0
2019-12-30,-0.003,0,-0.005,-0.006,-0.003,-0.005,-0.006,-0.006,-0.003,-0.004,,-0.006
2019-12-31,0.003,0.004,0.001,0.001,0.007,-0.001,0.002,0.003,0.006,0.003,,0.002
2020-01-02,0.01,-0.013,-0.008,0.012,-0.012,0.019,0.003,0.019,0.009,0.004,,0.009
2020-01-03,-0.011,0.002,-0.002,-0.009,-0.016,-0.002,-0.009,-0.011,-0.003,-0.007,,-0.008
2020-01-06,-0.001,0.001,0.002,0.003,-0.004,0,0.006,0.002,0.008,0.002,,0.004
